player_id,player_name,pts,rebs,ast,stl
101,LeBron James,25.7,7.3,8.3,1.3
102,Stephen Curry,26.4,4.5,5.1,0.7
103,Kevin Durant,27.1,6.6,5.0,0.9
104,Giannis Antetokounmpo,30.4,11.5,6.5,1.2
105,Nikola Jokic,26.4,12.4,9.0,1.4
106,Luka Doncic,33.9,9.2,9.8,1.4
107,Joel Embiid,34.7,11.0,5.6,1.2
108,Jayson Tatum,26.9,8.1,4.9,1.0
109,Devin Booker,27.1,4.5,6.9,0.9
110,Jimmy Butler,20.8,5.3,5.0,1.3
111,Anthony Davis,24.7,12.6,3.5,1.2
112,Damian Lillard,24.3,4.4,7.0,1.0
113,Shai Gilgeous-Alexander,30.1,5.5,6.2,2.0
114,De'Aaron Fox,26.6,4.6,5.6,2.0
115,Donovan Mitchell,26.6,5.1,6.1,1.8
116,Anthony Edwards,25.9,5.4,5.1,1.3
117,Bam Adebayo,19.3,10.4,3.9,1.1
118,Tyrese Haliburton,20.1,3.9,10.9,1.2
119,Jalen Brunson,28.7,3.6,6.7,0.9
120,Kawhi Leonard,23.7,6.1,3.6,1.6
